Station ID,Provider,Location Name,Latitude,Longitude,Charging Speed,Available Chargers,Charging Types,Accessibility,Operating Hours
1001,ChargeCo,Downtown Station,40.7128,-74.0060,Fast,4,Type 2,Public,24/7
1002,PowerGrid,Central Park Station,40.7851,-73.9683,Supercharger,2,DC Fast Charge,Public,06:00 - 22:00
1003,EVNow,Riverside Charging,34.0522,-118.2437,Fast,3,Type 1,Restricted,09:00 - 18:00
1004,Electra,Eastside Charging,34.0520,-118.2500,Supercharger,4,DC Fast Charge,Public,24/7
1005,VoltHub,Sunset Boulevard,34.0699,-118.4050,Fast,2,Type 2,Restricted,07:00 - 20:00
1006,PowerGrid,Hollywood Station,34.0928,-118.3287,Supercharger,5,DC Fast Charge,Public,24/7
1007,ChargeCo,Beverly Hills,34.0695,-118.4053,Fast,3,Type 2,Public,06:00 - 22:00
1008,EVNow,Pacific Station,33.7485,-118.2487,Fast,2,Type 1,Public,08:00 - 20:00
1009,Electra,Santa Monica,34.0194,-118.4957,Supercharger,6,DC Fast Charge,Public,24/7
1010,VoltHub,Venice Beach,33.9850,-118.4695,Fast,4,Type 2,Restricted,06:00 - 22:00
1011,PowerGrid,Silver Lake,34.0900,-118.2742,Fast,2,Type 1,Public,24/7
1012,ChargeCo,Los Angeles Station,34.0527,-118.2437,Supercharger,3,DC Fast Charge,Public,06:00 - 20:00
1013,EVNow,Wilshire Boulevard,34.0675,-118.4340,Fast,4,Type 2,Restricted,08:00 - 18:00
1014,Electra,Century City,34.0694,-118.4154,Supercharger,5,DC Fast Charge,Public,24/7
1015,VoltHub,LAX Airport,33.9416,-118.4085,Fast,6,Type 2,Public,24/7
1016,ChargeCo,West Hollywood,34.0906,-118.3792,Fast,2,Type 1,Restricted,07:00 - 19:00
1017,PowerGrid,Glendale Station,34.1425,-118.2551,Supercharger,3,DC Fast Charge,Public,08:00 - 22:00
1018,EVNow,Culver City,33.9934,-118.3985,Fast,4,Type 2,Public,24/7
1019,Electra,Pasadena Station,34.1462,-118.1445,Supercharger,5,DC Fast Charge,Public,06:00 - 20:00
1020,VoltHub,Long Beach,33.7682,-118.1951,Fast,2,Type 1,Restricted,09:00 - 18:00
1021,ChargeCo,Compton,33.8958,-118.2200,Fast,4,Type 2,Public,24/7
1022,PowerGrid,Inglewood,33.9564,-118.3526,Supercharger,3,DC Fast Charge,Public,08:00 - 22:00
1023,EVNow,Carson City,33.8327,-118.2203,Fast,5,Type 2,Public,24/7
1024,Electra,Torrance Station,33.8358,-118.3402,Supercharger,6,DC Fast Charge,Public,24/7
1025,VoltHub,South Bay,33.8666,-118.3727,Fast,4,Type 2,Restricted,07:00 - 20:00
1026,ChargeCo,London Bridge,51.5074,-0.1278,Fast,4,Type 2,Public,24/7
1027,PowerGrid,Paris Gare du Nord,48.8817,2.3550,Supercharger,2,DC Fast Charge,Public,06:00 - 22:00
1028,EVNow,Berlin Hauptbahnhof,52.5200,13.4050,Fast,5,Type 2,Public,08:00 - 20:00
1029,Electra,Amsterdam Centraal,52.3779,4.8970,Supercharger,3,DC Fast Charge,Public,24/7
1030,VoltHub,Madrid Atocha,40.4074,-3.6920,Fast,4,Type 2,Restricted,06:00 - 22:00
1031,ChargeCo,Barcelona Sants,41.3745,2.1580,Supercharger,5,DC Fast Charge,Public,24/7
1032,PowerGrid,London King's Cross,51.5300,-0.1235,Fast,6,Type 2,Public,24/7
1033,EVNow,Budapest Keleti,47.7895,19.0773,Supercharger,2,DC Fast Charge,Public,06:00 - 22:00
1034,Electra,Zurich Hauptbahnhof,47.3784,8.5400,Fast,4,Type 2,Restricted,09:00 - 18:00
1035,VoltHub,Paris Charles de Gaulle,49.0097,2.5477,Supercharger,3,DC Fast Charge,Public,24/7
1036,ChargeCo,Frankfurt Main Station,50.1109,8.6821,Fast,4,Type 2,Public,06:00 - 20:00
1037,PowerGrid,Brussels Central,50.8467,4.3499,Supercharger,2,DC Fast Charge,Public,08:00 - 22:00
1038,EVNow,Stockholm Central,59.3293,18.0686,Fast,5,Type 2,Public,07:00 - 19:00
1039,Electra,Oslo Central Station,59.9113,10.7437,Supercharger,4,DC Fast Charge,Public,24/7
1040,VoltHub,Rome Termini,41.9013,12.4958,Fast,3,Type 1,Restricted,06:00 - 22:00
1041,ChargeCo,Amsterdam Schiphol,52.3105,4.7683,Supercharger,6,DC Fast Charge,Public,24/7
1042,PowerGrid,Vienna Hauptbahnhof,48.1900,16.3705,Fast,4,Type 2,Public,08:00 - 22:00
1043,EVNow,Munich Hauptbahnhof,48.1351,11.5820,Supercharger,3,DC Fast Charge,Public,24/7
1044,Electra,Copenhagen Central,55.6761,12.5683,Fast,5,Type 2,Restricted,06:00 - 20:00
1045,VoltHub,Lisbon Oriente,38.7676,-9.1006,Supercharger,2,DC Fast Charge,Public,24/7
1046,ChargeCo,Prague Main Station,50.0878,14.4208,Fast,4,Type 2,Public,07:00 - 19:00
1047,PowerGrid,Bratislava,48.1482,17.1067,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1048,EVNow,Bucharest Gara de Nord,44.4405,26.1043,Fast,6,Type 2,Public,08:00 - 20:00
1049,Electra,Florence Santa Maria Novella,43.7765,11.2470,Supercharger,5,DC Fast Charge,Public,24/7
1050,VoltHub,Athens Syntagma,37.9838,23.7275,Fast,3,Type 1,Restricted,06:00 - 22:00
1051,ChargeCo,Helsinki Central Station,60.1699,24.9384,Supercharger,4,DC Fast Charge,Public,24/7
1052,PowerGrid,London Paddington,51.5155,-0.1745,Fast,4,Type 2,Public,24/7
1053,EVNow,Berlin Alexanderplatz,52.5219,13.4132,Supercharger,5,DC Fast Charge,Public,06:00 - 20:00
1054,Electra,Prague Andel,50.0737,14.4100,Fast,2,Type 2,Restricted,09:00 - 18:00
1055,VoltHub,Zurich Oerlikon,47.4082,8.5501,Supercharger,6,DC Fast Charge,Public,24/7
1056,ChargeCo,Milan Centrale,45.4841,9.2047,Fast,3,Type 1,Public,08:00 - 20:00
1057,PowerGrid,Oslo Nationaltheatret,59.9156,10.7345,Supercharger,4,DC Fast Charge,Public,06:00 - 22:00
